author_name,review_title,review_text,author_rating,visit_date,overall_rating
RaviDMahtani,Corporate Banquet,Great place to have a corporate banquet to entertain our clients. Helpful staff and easy to work with.,40,November 2019,4.0
MANEESH1984OIF,Amazing Food & Amazing Place,Food is very tasty. Taste is still in my mind. Variety of delicious food items are available in the menu. Interior is good and staff are well behavioral. Specially Mr.Rohit (Owner of the Place) is very caring for guests personally. They are doing very well....Keep it up.More,40,February 2020,4.0
JPVirdi,Another Great Indian Restaurant in Lagos,"Authentic Indian food, Great Ambience. 
A must go!
Their menu is expansive.  ...and the service is pretty good as well.",40,October 2019,4.0
Kishor K,Good Indian food !!!,"# Good  Indian food @ VI,  Lagos !!!
# Good care /personal attention from  owner !! 
# Keep organising spacial parties !!! 
# Special Sunday Buffet  is good however snacks  quality need improvement !!",40,March 2019,4.0
Wabe1816,"Flavorful, Economic Sunday Brunch","I dined at this establishment with a few coworkers for Sunday brunch. There were a variety of dishes available; however, the absence of cards with food descriptions in English made it difficult to truly enjoy the fare. All of the signs were in transliterated Hindi,...which was not helpful for people, like myself, who do not speak/read/understand Hindi. None of my co-workers could figure out the content of the dishes. As a result, we had to test a bit of everything, which turned out to be an uncomfortable experience as many of the dishes were very spicy/hot. Another downside is that the restaurant did not have mango lassi, which is an Indian restaurant staple. Overall, the price of the brunch is relatively economic - everything in Lagos that isn't Nigerian is expensive - and the food was relatively tasty. I would not partake in the buffet again, though, as I barely got through one plate.  Nevertheless, I would buy a dish a la cart.More",40,July 2019,4.0
RanjitWarrier,Home made Indian Food,They food they serve tastes like home cooked food. They also have a very good Buffet spreads over the weekends which is good value for money.,50,July 2019,4.0
imsam,Good Place to catch up with your friends,"Being there to hang out on a weekend with some friends. The Buffet spread is good enough to have a good brunch. Added advantage is that they include unlimited beer (limited brands) in the buffet price.
The vegetarian spread was good and the taste was...average. The n0n-vegeterain dishes were not great. The Afghani Boti was a bit under cooked and didn't enjoy it.
The whole exercise was to meet the friend have a goog beer and enjoy the food in their company.More",50,June 2019,4.0
Vinod K,Average Food,I recently ate at this restaurant and my experience was not so good. Although food came out fast but few dishes were not done right.,50,May 2019,4.0
Sreeresh P,Tasty Indian Food,The restaurant serves a variety of tasty Indian dishes. Visited many times during my stay and was never disappointed. Ambience is average and prices are reasonable.,40,February 2019,4.0
RajeshPillai20,Good Indian Food in VI,Meal was good and Tasty. Staff are good and friendly. Enough place for parking. Of late it is getting expensive.,40,February 2019,4.0
sss_mach7,Great Indian restaurant in VI,"Great Indian taste, affordable, neat and clean place to eat in VI. Customer service staff is friendly.",50,March 2018,4.0
AnnieLagos,Good Indian Cuisine,"For a taste of good Indian cuisine in the heart of Lagos, Gurunar's restaurant is the place to be. In the heart of Victoria Island Lagos and set in a serene family environment, Gurunar's restaurant offers you a wide selection of dishes to choose from...with authentic Indian spices.More",30,February 2019,4.0
Anil1968,Indian Food in lagos,Very neat and clean place. I  went for the dinner with my friends and fount the restaurant reasonable.,30,December 2018,4.0
praveench777,A Nice Place to enjoy the India Food In Victoria City VI,Very neat & Clean Decent place for Lunch & Dinner Staff is very co-operative.Food is awesome dont forget to enjoy Kulfi after Dinner.Service is quiet impressive & Quality of food is very Good.the Quantity of Vegetables & Dal increase to little bit as Per price.,40,December 2018,4.0
sunilm375,Only quality of food need to improve and attention for diners fully,"I am a monthly visitor to this place but the quality of food that’s I received today’s dinner was never excepted, first of round found a hair on my roasted papad, next there was live flies found on my sauce cup, the meat I had...for it was very old frozen meat. The naan I had it was not well cooked. I was wondering that non of them come n check about it. 
I do work for the hospitality industry for 10+ years. So never excepted 

Just sharing my experience.More",30,December 2018,4.0
Olumide K,Authentic Indian Cuisine,If you are looking for an authentic Indian cuisine in Lagos this is the place to go. It’s a mid scale mid priced restaurant for lovers of Indian food. It is highly recommended.,40,April 2018,4.0
Gaurav_81184,Superb Food,"I must say, the Indian food available in this restaurant is even better that many famous restaurants in India. I stay in Viceroy guesthouse and eat in this restaurant whenever I get chance. It is one of the reasons why I enjoy travelling to nigeria!",40,July 2017,4.0
ShaktiSoni,Awesome food,Food is really good. Quality of all the items were perfect. Service part is also good. Suggestions of food given by the person was awesome. But the restaurant is bit expensive. The quantity offered is bit less.,40,January 2018,4.0
mayankskabra,Great food,One of my favorite Indian cuisine restaurants in Lagos. Love the chicken kalimirch & goan flakes especially!!!,40,January 2018,4.0
Online_Harsha,Raitha/Curd made of Old Spoiled cut and unit for eating,"We order Lunch everyday from Viceroy and the food is generally good.
The Raitha sent is made of old and spoiled curd which is unfit for eating.
We are from India and on a visit to Zenith Bank",40,October 2017,4.0
khalilsalim22,best indian restaurant in nigeria,i am lebanese nationality i always visit viceroy restaurant and its the best in lagos and nigeria and even to be honest the best indian restaurant ive been to in many countries the food is perfect the restaurant is class and the service is good...More,50,October 2017,4.0
Bee2B,Great food and service always,We go to this lovely Indian restaurant regularly. The food is always so tasty and service of a high standard. We have tried quite a number of things and always tasty. You should all try it for great hearty Indian cuisine.,50,September 2017,4.0
Nomad604500,Excellent food,Excellent food with lovely hospitality. Don't forget to taste the kulfi.  Ambience is also very good.,40,August 2017,4.0
Sbhat255,Excellent Indian restaurant.,"This is my second visit.  Viceroy is an excellent restaurant.  I am happy to have found it.  Nice ambience, excellent service and tasty food.  I am vegetarian. There are good vegetarian choices in the menu.",40,July 2017,4.0
Roobel,Tasty Indian Food,"My second visit to this place. This time tried purely vegetarian food. The Veg Manchow soup was aromatic and spicy. The whiff of it would make u drool. Then tried the mixed pakoras. Prefectly crispy with 3 chutneys sweet tamarind, green mint and red chutney...More",20,July 2017,4.0
Sanket G,Best Indian Restaurant in VI,"Ambiance is far far better then other available places. Food is great,owner is passionate about guest service. Located right behind Coscharis plaza in VI. Ample parking space makes life easy.",50,April 2017,4.0
