author_name,review_title,review_text,author_rating,visit_date,overall_rating
白 李,delicious lunch,"The food here is good, and the service attitude is also good. I will come here again for dinner next time",35,May 2023,3.5
odenyi s,It was a beautiful sight and serene place to eat and the calmness with meals and drinks are superb calm,"The spot is great for casual date ,it is a beautiful place to wind after a long day int office with a nice meal and drink .",35,May 2023,3.5
omotejowho o,My experience there was wow!!!,"D restaurant is so nice,dere food is very sweet,I feel like visiting dere again I love dere hospitality dere",30,May 2023,3.5
kunlea2013,Very beautiful and tasty food. Poor decor,"Very beautiful and tasty food. Staff very nice but very poor furniture and decor. If you are out for very good food and don’t mind poor decor. This is the place. No plush, decor needs a lot of work. But food excellent",25,November 2020,3.5
susanne o,Family friendly,I went for dinner with my husband and baby. First of all thank God for the comfortable baby seat that was provided for my daughter💯💯 the food was amazing and the price wasn’t bad either. It was my second time going there and I totally...enjoyed the dinner. Even had takeaway😂🤣More,40,September 2019,3.5
Geraldattila,Not maximising its potential...,Food was good. Not the best Asian cuisine ive had though. Service was good...would come back again. But surely they could do much better with the location ...space and variety available to them. Seem too relaxed a restaurant for me...Acting like they aint no competition...in...the Asian food space. Food was good ...wasnt blown away...Prices could be better and staff could be a bit more honest on meals available. Not just taking your order and serving what they feel is okay...More,50,July 2017,3.5
Omotunde A,Mr. Chang is Dubious!,"I first wondered while I and my 3 other colleagues that went for lunch were the only one at the restaurant especially on a Saturday. I soon found out. Our bill was worth N26,500 only for us to be charged extra 5% consumption tax and...10% service charge after charging 5% VAT making 20% charge on the fee. I think the restaurant is a scam. Besides the food is just normal. I think it's not worth it. The management is dubious and unscrupulous!More",50,March 2017,3.5
Ian L,Good but pricey,"Situated on Awolowo Road, Mr. Chang's has tasteful decor and an elegant atmosphere. The food is very good - on par with the best Chinese restaurants in Lagos. Quite expensive however, so watch out.",30,October 2016,3.5
cornelis2017,Very very mediocre,"Had a sechuan plate of chicken made without any phantasy and dedication  .no surprise of a fine sauce all made without intrest .only thing good was a Muscadet wine for 9000 ng 
A total no go never again.
2 people at cashier occupied with their...phonez ..never again waste of moneyMore",40,January 2017,3.5
mjacob007,Nothing exciting,"we went for lunch with a colleague for lunch. Despite the fact we were starving, the food was not very tasty, service was lousy. as we could not finish the food, we decided to take a doggy bag. That was every worse, not sure if...the temperature of the food and packs did not work, the food was just useless. we swore not o go back every again.More",40,December 2016,3.5
Tinuks,Good enough but a bit pricey,"The food is good, not excellent but very good. Parking is a bit of a nightmare as there are only 4 spaces in front of the building so that for me is a big minus.",10,February 2016,3.5
Ibadanboy,Nice!,"Mr Chang's is a nice Chinese Restaurant in Ikoyi. Located on Awolowo Road, the restaurant serves up lovely Chinese food. Nice!",40,April 2016,3.5
ayoawejoseph,Nice Chinese restaurant,"Mr Chang is a very nice and compact Chinese restaurant on Awolowo road ikoyi.
There food is mouth watering and a great place for family lunch.",10,July 2015,3.5
AnkurTravography,Good Chinese food in Lagod,"This Chinese restaurant is very close to producing dishes which are nearly Chinese in taste. This is relevant when we are talking in context with Lagos, yes you can enjoy authentic dishes within this Chinese ambiance reataurant.",30,January 2016,3.5
de_rahul,Good but spicy food,"One thing i like about the restaurant is the quality of food and the speed of service. If you r into spicy food then mr chang is your place.

There authentic chinese soups are very good (you need to mention how much spice you can...handle). Portions are also good. 

Parking can sometimes become a bit challenging though.

If you r a sea food lover, try any of their fish dishes and the prawn in black sauce.More",40,January 2016,3.5
Latino_Loco,Great Chinese Food in Lagos,I went to Mr.Chang Chinese Restaurant with my colleague during a business trip to Lagos. I find the Chinese food here really good. We ordered a spicy Chicken and mapotofu which turned out to be quite good. The price was a bit too expensive and...More,35,August 2015,3.5
